ZIPCode,ideal_count,Latitude,Longitude,Ideal Customer Count:,TopOccupations_x,TopOccupations_y,Most Common Occupations:
32035,11,30.671365,-81.461823,11,"['CookingEnthusiast', 'HomeDecoratingEnthusiast', 'ExerciseEnthusiast']","['CookingEnthusiast', 'HomeDecoratingEnthusiast', 'ExerciseEnthusiast']","['CookingEnthusiast', 'HomeDecoratingEnthusiast', 'ExerciseEnthusiast']"
32038,84,29.870773,-82.65633,84,"['PresenceOfChildrenInd', 'BookReader', 'CookingEnthusiast']","['PresenceOfChildrenInd', 'BookReader', 'CookingEnthusiast']","['PresenceOfChildrenInd', 'BookReader', 'CookingEnthusiast']"
32040,81,30.240209,-82.219281,81,"['BookReader', 'ExerciseEnthusiast', 'OutdoorEnthusiast']","['BookReader', 'ExerciseEnthusiast', 'OutdoorEnthusiast']","['BookReader', 'ExerciseEnthusiast', 'OutdoorEnthusiast']"
32041,3,30.63096,-81.608253,3,"['OutdoorEnthusiast', 'PresenceOfChildrenInd', 'Jewelry']","['OutdoorEnthusiast', 'PresenceOfChildrenInd', 'Jewelry']","['OutdoorEnthusiast', 'PresenceOfChildrenInd', 'Jewelry']"
32043,302,30.037799,-81.811322,302,"['BookReader', 'PresenceOfChildrenInd', 'HomeDecoratingEnthusiast']","['BookReader', 'PresenceOfChildrenInd', 'HomeDecoratingEnthusiast']","['BookReader', 'PresenceOfChildrenInd', 'HomeDecoratingEnthusiast']"
32044,20,29.868323,-82.143476,20,"['PresenceOfChildrenInd', 'BookReader', 'CookingEnthusiast']","['PresenceOfChildrenInd', 'BookReader', 'CookingEnthusiast']","['PresenceOfChildrenInd', 'BookReader', 'CookingEnthusiast']"
32046,97,30.725092,-81.985283,97,"['ExerciseEnthusiast', 'BookReader', 'CookingEnthusiast']","['ExerciseEnthusiast', 'BookReader', 'CookingEnthusiast']","['ExerciseEnthusiast', 'BookReader', 'CookingEnthusiast']"
32050,2,30.073149,-81.862812,2,"['BookReader', 'CookingEnthusiast', 'ExerciseEnthusiast']","['BookReader', 'CookingEnthusiast', 'ExerciseEnthusiast']","['BookReader', 'CookingEnthusiast', 'ExerciseEnthusiast']"
32052,47,30.412325,-82.933059,47,"['PresenceOfChildrenInd', 'BookReader', 'HomeDecoratingEnthusiast']","['PresenceOfChildrenInd', 'BookReader', 'HomeDecoratingEnthusiast']","['PresenceOfChildrenInd', 'BookReader', 'HomeDecoratingEnthusiast']"
32053,30,30.567437,-83.14735,30,"['BookReader', 'HomeDecoratingEnthusiast', 'PresenceOfChildrenInd']","['BookReader', 'HomeDecoratingEnthusiast', 'PresenceOfChildrenInd']","['BookReader', 'HomeDecoratingEnthusiast', 'PresenceOfChildrenInd']"
32054,109,29.981225,-82.558154,109,"['PresenceOfChildrenInd', 'BookReader', 'CookingEnthusiast']","['PresenceOfChildrenInd', 'BookReader', 'CookingEnthusiast']","['PresenceOfChildrenInd', 'BookReader', 'CookingEnthusiast']"
32055,166,30.272854,-82.725224,166,"['BookReader', 'PresenceOfChildrenInd', 'HomeDecoratingEnthusiast']","['BookReader', 'PresenceOfChildrenInd', 'HomeDecoratingEnthusiast']","['BookReader', 'PresenceOfChildrenInd', 'HomeDecoratingEnthusiast']"
32056,15,30.191576,-82.640103,15,"['HomeDecoratingEnthusiast', 'BookReader', 'CookingEnthusiast']","['HomeDecoratingEnthusiast', 'BookReader', 'CookingEnthusiast']","['HomeDecoratingEnthusiast', 'BookReader', 'CookingEnthusiast']"
32058,32,30.07083,-82.066735,32,"['CookingEnthusiast', 'BookReader', 'ExerciseEnthusiast']","['CookingEnthusiast', 'BookReader', 'ExerciseEnthusiast']","['CookingEnthusiast', 'BookReader', 'ExerciseEnthusiast']"
32059,23,30.461097,-83.251612,23,"['ExerciseEnthusiast', 'OutdoorEnthusiast', 'PresenceOfChildrenInd']","['ExerciseEnthusiast', 'OutdoorEnthusiast', 'PresenceOfChildrenInd']","['ExerciseEnthusiast', 'OutdoorEnthusiast', 'PresenceOfChildrenInd']"
32060,223,30.279232,-83.030387,223,"['BookReader', 'CookingEnthusiast', 'OutdoorEnthusiast']","['BookReader', 'CookingEnthusiast', 'OutdoorEnthusiast']","['BookReader', 'CookingEnthusiast', 'OutdoorEnthusiast']"
32061,1,30.034889,-82.544972,1,"['AutomotiveBuff', 'BookReader', 'OutdoorEnthusiast']","['AutomotiveBuff', 'BookReader', 'OutdoorEnthusiast']","['AutomotiveBuff', 'BookReader', 'OutdoorEnthusiast']"
32062,23,30.162655,-83.014379,23,"['PresenceOfChildrenInd', 'OutdoorEnthusiast', 'BookReader']","['PresenceOfChildrenInd', 'OutdoorEnthusiast', 'BookReader']","['PresenceOfChildrenInd', 'OutdoorEnthusiast', 'BookReader']"
32063,126,30.337767,-82.124023,126,"['PresenceOfChildrenInd', 'BookReader', 'HomeDecoratingEnthusiast']","['PresenceOfChildrenInd', 'BookReader', 'HomeDecoratingEnthusiast']","['PresenceOfChildrenInd', 'BookReader', 'HomeDecoratingEnthusiast']"
32064,52,30.288531,-82.982489,52,"['CookingEnthusiast', 'BookReader', 'ExerciseEnthusiast']","['CookingEnthusiast', 'BookReader', 'ExerciseEnthusiast']","['CookingEnthusiast', 'BookReader', 'ExerciseEnthusiast']"
32065,391,30.147196,-81.775494,391,"['PresenceOfChildrenInd', 'BookReader', 'CookingEnthusiast']","['PresenceOfChildrenInd', 'BookReader', 'CookingEnthusiast']","['PresenceOfChildrenInd', 'BookReader', 'CookingEnthusiast']"
32066,41,30.001734,-83.005207,41,"['PresenceOfChildrenInd', 'BookReader', 'HomeDecoratingEnthusiast']","['PresenceOfChildrenInd', 'BookReader', 'HomeDecoratingEnthusiast']","['PresenceOfChildrenInd', 'BookReader', 'HomeDecoratingEnthusiast']"
32067,1,30.166029,-81.722317,1,"['PresenceOfChildrenInd', 'FoodWines', 'Jewelry']","['PresenceOfChildrenInd', 'FoodWines', 'Jewelry']","['PresenceOfChildrenInd', 'FoodWines', 'Jewelry']"
32068,630,30.01552,-81.901626,630,"['PresenceOfChildrenInd', 'BookReader', 'HomeDecoratingEnthusiast']","['PresenceOfChildrenInd', 'BookReader', 'HomeDecoratingEnthusiast']","['PresenceOfChildrenInd', 'BookReader', 'HomeDecoratingEnthusiast']"
32071,45,30.084038,-83.005387,45,"['PresenceOfChildrenInd', 'BookReader', 'CookingEnthusiast']","['PresenceOfChildrenInd', 'BookReader', 'CookingEnthusiast']","['PresenceOfChildrenInd', 'BookReader', 'CookingEnthusiast']"
32073,437,30.177795,-81.75315,437,"['BookReader', 'PresenceOfChildrenInd', 'HomeDecoratingEnthusiast']","['BookReader', 'PresenceOfChildrenInd', 'HomeDecoratingEnthusiast']","['BookReader', 'PresenceOfChildrenInd', 'HomeDecoratingEnthusiast']"
32079,3,29.978862,-81.810554,3,"['BookReader', 'HomeDecoratingEnthusiast', 'HealthAndBeauty']","['BookReader', 'HomeDecoratingEnthusiast', 'HealthAndBeauty']","['BookReader', 'HomeDecoratingEnthusiast', 'HealthAndBeauty']"
32080,252,29.77892,-81.256168,252,"['BookReader', 'CookingEnthusiast', 'HomeDecoratingEnthusiast']","['BookReader', 'CookingEnthusiast', 'HomeDecoratingEnthusiast']","['BookReader', 'CookingEnthusiast', 'HomeDecoratingEnthusiast']"
32081,274,30.127963,-81.439727,274,"['PresenceOfChildrenInd', 'BookReader', 'CookingEnthusiast']","['PresenceOfChildrenInd', 'BookReader', 'CookingEnthusiast']","['PresenceOfChildrenInd', 'BookReader', 'CookingEnthusiast']"
32082,371,30.229278,-81.387799,371,"['BookReader', 'CookingEnthusiast', 'HomeDecoratingEnthusiast']","['BookReader', 'CookingEnthusiast', 'HomeDecoratingEnthusiast']","['BookReader', 'CookingEnthusiast', 'HomeDecoratingEnthusiast']"
32083,17,30.046846,-82.247532,17,"['PresenceOfChildrenInd', 'OutdoorSportsLover', 'AutomotiveBuff']","['PresenceOfChildrenInd', 'OutdoorSportsLover', 'AutomotiveBuff']","['PresenceOfChildrenInd', 'OutdoorSportsLover', 'AutomotiveBuff']"
32084,368,29.905628,-81.33065,368,"['BookReader', 'PresenceOfChildrenInd', 'CookingEnthusiast']","['BookReader', 'PresenceOfChildrenInd', 'CookingEnthusiast']","['BookReader', 'PresenceOfChildrenInd', 'CookingEnthusiast']"
32085,11,29.89147,-81.316147,11,"['PresenceOfChildrenInd', 'CookingEnthusiast', 'HomeDecoratingEnthusiast']","['PresenceOfChildrenInd', 'CookingEnthusiast', 'HomeDecoratingEnthusiast']","['PresenceOfChildrenInd', 'CookingEnthusiast', 'HomeDecoratingEnthusiast']"
32086,362,29.754019,-81.289573,362,"['BookReader', 'CookingEnthusiast', 'HomeDecoratingEnthusiast']","['BookReader', 'CookingEnthusiast', 'HomeDecoratingEnthusiast']","['BookReader', 'CookingEnthusiast', 'HomeDecoratingEnthusiast']"
32087,42,30.249716,-82.271485,42,"['PresenceOfChildrenInd', 'BookReader', 'CookingEnthusiast']","['PresenceOfChildrenInd', 'BookReader', 'CookingEnthusiast']","['PresenceOfChildrenInd', 'BookReader', 'CookingEnthusiast']"
32091,153,29.941685,-82.119611,153,"['PresenceOfChildrenInd', 'BookReader', 'ExerciseEnthusiast']","['PresenceOfChildrenInd', 'BookReader', 'ExerciseEnthusiast']","['PresenceOfChildrenInd', 'BookReader', 'ExerciseEnthusiast']"
32092,505,29.921607,-81.544716,505,"['PresenceOfChildrenInd', 'BookReader', 'HomeDecoratingEnthusiast']","['PresenceOfChildrenInd', 'BookReader', 'HomeDecoratingEnthusiast']","['PresenceOfChildrenInd', 'BookReader', 'HomeDecoratingEnthusiast']"
32094,41,30.23195,-82.822582,41,"['BookReader', 'HomeDecoratingEnthusiast', 'PresenceOfChildrenInd']","['BookReader', 'HomeDecoratingEnthusiast', 'PresenceOfChildrenInd']","['BookReader', 'HomeDecoratingEnthusiast', 'PresenceOfChildrenInd']"
32095,216,30.007721,-81.367071,216,"['BookReader', 'PresenceOfChildrenInd', 'HomeDecoratingEnthusiast']","['BookReader', 'PresenceOfChildrenInd', 'HomeDecoratingEnthusiast']","['BookReader', 'PresenceOfChildrenInd', 'HomeDecoratingEnthusiast']"
32096,26,30.35581,-82.716756,26,"['PresenceOfChildrenInd', 'BookReader', 'OutdoorEnthusiast']","['PresenceOfChildrenInd', 'BookReader', 'OutdoorEnthusiast']","['PresenceOfChildrenInd', 'BookReader', 'OutdoorEnthusiast']"
32097,251,30.664436,-81.538887,251,"['BookReader', 'PresenceOfChildrenInd', 'CookingEnthusiast']","['BookReader', 'PresenceOfChildrenInd', 'CookingEnthusiast']","['BookReader', 'PresenceOfChildrenInd', 'CookingEnthusiast']"
32102,21,29.154385,-81.531495,21,"['BookReader', 'CookingEnthusiast', 'HomeDecoratingEnthusiast']","['BookReader', 'CookingEnthusiast', 'HomeDecoratingEnthusiast']","['BookReader', 'CookingEnthusiast', 'HomeDecoratingEnthusiast']"
32110,93,29.463596,-81.418677,93,"['ExerciseEnthusiast', 'PresenceOfChildrenInd', 'BookReader']","['ExerciseEnthusiast', 'PresenceOfChildrenInd', 'BookReader']","['ExerciseEnthusiast', 'PresenceOfChildrenInd', 'BookReader']"
32111,6,29.071714,-81.973888,6,"['PresenceOfChildrenInd', 'AutomotiveBuff', 'BookReader']","['PresenceOfChildrenInd', 'AutomotiveBuff', 'BookReader']","['PresenceOfChildrenInd', 'AutomotiveBuff', 'BookReader']"
32112,64,29.431095,-81.651992,64,"['BookReader', 'PresenceOfChildrenInd', 'CookingEnthusiast']","['BookReader', 'PresenceOfChildrenInd', 'CookingEnthusiast']","['BookReader', 'PresenceOfChildrenInd', 'CookingEnthusiast']"
32113,60,29.386411,-82.094676,60,"['BookReader', 'CookingEnthusiast', 'Gardener']","['BookReader', 'CookingEnthusiast', 'Gardener']","['BookReader', 'CookingEnthusiast', 'Gardener']"
32114,311,29.201801,-81.027374,311,"['PresenceOfChildrenInd', 'BookReader', 'CookingEnthusiast']","['PresenceOfChildrenInd', 'BookReader', 'CookingEnthusiast']","['PresenceOfChildrenInd', 'BookReader', 'CookingEnthusiast']"
32115,3,29.21458,-81.021046,3,"['AutomotiveBuff', 'BookReader', 'HomeDecoratingEnthusiast']","['AutomotiveBuff', 'BookReader', 'HomeDecoratingEnthusiast']","['AutomotiveBuff', 'BookReader', 'HomeDecoratingEnthusiast']"
32116,2,29.164603,-81.001784,2,"['Gardener', 'PresenceOfChildrenInd', 'FoodWines']","['Gardener', 'PresenceOfChildrenInd', 'FoodWines']","['Gardener', 'PresenceOfChildrenInd', 'FoodWines']"
32117,247,29.235131,-81.031771,247,"['BookReader', 'ExerciseEnthusiast', 'PresenceOfChildrenInd']","['BookReader', 'ExerciseEnthusiast', 'PresenceOfChildrenInd']","['BookReader', 'ExerciseEnthusiast', 'PresenceOfChildrenInd']"
32118,206,29.207032,-81.001174,206,"['BookReader', 'CookingEnthusiast', 'ExerciseEnthusiast']","['BookReader', 'CookingEnthusiast', 'ExerciseEnthusiast']","['BookReader', 'CookingEnthusiast', 'ExerciseEnthusiast']"
32119,199,29.167623,-81.012969,199,"['BookReader', 'CookingEnthusiast', 'ExerciseEnthusiast']","['BookReader', 'CookingEnthusiast', 'ExerciseEnthusiast']","['BookReader', 'CookingEnthusiast', 'ExerciseEnthusiast']"
32120,5,29.202252,-81.073263,5,"['OutdoorSportsLover', 'AutomotiveBuff', 'BookReader']","['OutdoorSportsLover', 'AutomotiveBuff', 'BookReader']","['OutdoorSportsLover', 'AutomotiveBuff', 'BookReader']"
32121,1,29.164603,-81.001784,1,"['BookReader', 'CookingEnthusiast', 'HomeDecoratingEnthusiast']","['BookReader', 'CookingEnthusiast', 'HomeDecoratingEnthusiast']","['BookReader', 'CookingEnthusiast', 'HomeDecoratingEnthusiast']"
32123,1,29.164603,-81.001784,1,"['PresenceOfChildrenInd', 'FoodWines', 'Jewelry']","['PresenceOfChildrenInd', 'FoodWines', 'Jewelry']","['PresenceOfChildrenInd', 'FoodWines', 'Jewelry']"
32124,100,29.1342,-81.136515,100,"['BookReader', 'CookingEnthusiast', 'HomeDecoratingEnthusiast']","['BookReader', 'CookingEnthusiast', 'HomeDecoratingEnthusiast']","['BookReader', 'CookingEnthusiast', 'HomeDecoratingEnthusiast']"
32125,2,29.237769,-81.036235,2,"['CookingEnthusiast', 'ExerciseEnthusiast', 'Gardener']","['CookingEnthusiast', 'ExerciseEnthusiast', 'Gardener']","['CookingEnthusiast', 'ExerciseEnthusiast', 'Gardener']"
32126,1,29.227338,-81.008654,1,"['PresenceOfChildrenInd', 'FoodWines', 'Jewelry']","['PresenceOfChildrenInd', 'FoodWines', 'Jewelry']","['PresenceOfChildrenInd', 'FoodWines', 'Jewelry']"
32127,335,29.123745,-80.976023,335,"['ExerciseEnthusiast', 'CookingEnthusiast', 'BookReader']","['ExerciseEnthusiast', 'CookingEnthusiast', 'BookReader']","['ExerciseEnthusiast', 'CookingEnthusiast', 'BookReader']"
32128,242,29.060911,-81.020843,242,"['BookReader', 'HomeDecoratingEnthusiast', 'CookingEnthusiast']","['BookReader', 'HomeDecoratingEnthusiast', 'CookingEnthusiast']","['BookReader', 'HomeDecoratingEnthusiast', 'CookingEnthusiast']"
32129,262,29.140374,-81.04186,262,"['BookReader', 'PresenceOfChildrenInd', 'ExerciseEnthusiast']","['BookReader', 'PresenceOfChildrenInd', 'ExerciseEnthusiast']","['BookReader', 'PresenceOfChildrenInd', 'ExerciseEnthusiast']"
32130,56,29.123535,-81.359917,56,"['PresenceOfChildrenInd', 'BookReader', 'CookingEnthusiast']","['PresenceOfChildrenInd', 'BookReader', 'CookingEnthusiast']","['PresenceOfChildrenInd', 'BookReader', 'CookingEnthusiast']"
32131,41,29.642324,-81.614774,41,"['PresenceOfChildrenInd', 'OutdoorEnthusiast', 'BookReader']","['PresenceOfChildrenInd', 'OutdoorEnthusiast', 'BookReader']","['PresenceOfChildrenInd', 'OutdoorEnthusiast', 'BookReader']"
32132,82,28.973599,-80.899239,82,"['CookingEnthusiast', 'BookReader', 'ExerciseEnthusiast']","['CookingEnthusiast', 'BookReader', 'ExerciseEnthusiast']","['CookingEnthusiast', 'BookReader', 'ExerciseEnthusiast']"
32134,86,29.289749,-81.989852,86,"['OutdoorEnthusiast', 'BookReader', 'HomeDecoratingEnthusiast']","['OutdoorEnthusiast', 'BookReader', 'HomeDecoratingEnthusiast']","['OutdoorEnthusiast', 'BookReader', 'HomeDecoratingEnthusiast']"
32135,15,29.478617,-81.128871,15,"['BookReader', 'CookingEnthusiast', 'HomeDecoratingEnthusiast']","['BookReader', 'CookingEnthusiast', 'HomeDecoratingEnthusiast']","['BookReader', 'CookingEnthusiast', 'HomeDecoratingEnthusiast']"
32136,99,29.498708,-81.137396,99,"['BookReader', 'HomeDecoratingEnthusiast', 'CookingEnthusiast']","['BookReader', 'HomeDecoratingEnthusiast', 'CookingEnthusiast']","['BookReader', 'HomeDecoratingEnthusiast', 'CookingEnthusiast']"
32137,559,29.603457,-81.25758,559,"['BookReader', 'HomeDecoratingEnthusiast', 'CookingEnthusiast']","['BookReader', 'HomeDecoratingEnthusiast', 'CookingEnthusiast']","['BookReader', 'HomeDecoratingEnthusiast', 'CookingEnthusiast']"
32139,7,29.39216,-81.60176,7,"['HomeDecoratingEnthusiast', 'PresenceOfChildrenInd', 'BookReader']","['HomeDecoratingEnthusiast', 'PresenceOfChildrenInd', 'BookReader']","['HomeDecoratingEnthusiast', 'PresenceOfChildrenInd', 'BookReader']"
32140,18,29.738265,-81.8801,18,"['BookReader', 'OutdoorEnthusiast', 'CookingEnthusiast']","['BookReader', 'OutdoorEnthusiast', 'CookingEnthusiast']","['BookReader', 'OutdoorEnthusiast', 'CookingEnthusiast']"
32141,205,28.955327,-80.915861,205,"['CookingEnthusiast', 'BookReader', 'ExerciseEnthusiast']","['CookingEnthusiast', 'BookReader', 'ExerciseEnthusiast']","['CookingEnthusiast', 'BookReader', 'ExerciseEnthusiast']"
32145,58,29.724974,-81.447222,58,"['CookingEnthusiast', 'ExerciseEnthusiast', 'BookReader']","['CookingEnthusiast', 'ExerciseEnthusiast', 'BookReader']","['CookingEnthusiast', 'ExerciseEnthusiast', 'BookReader']"
32147,7,29.628226,-81.803573,7,"['PresenceOfChildrenInd', 'BookReader', 'ExerciseEnthusiast']","['PresenceOfChildrenInd', 'BookReader', 'ExerciseEnthusiast']","['PresenceOfChildrenInd', 'BookReader', 'ExerciseEnthusiast']"
32148,90,29.570788,-81.873034,90,"['PresenceOfChildrenInd', 'CookingEnthusiast', 'BookReader']","['PresenceOfChildrenInd', 'CookingEnthusiast', 'BookReader']","['PresenceOfChildrenInd', 'CookingEnthusiast', 'BookReader']"
32157,1,29.484438,-81.572604,1,"['PresenceOfChildrenInd', 'AutomotiveBuff', 'FoodWines']","['PresenceOfChildrenInd', 'AutomotiveBuff', 'FoodWines']","['PresenceOfChildrenInd', 'AutomotiveBuff', 'FoodWines']"
32158,5,28.933727,-81.927563,5,"['BookReader', 'HomeDecoratingEnthusiast', 'PresenceOfChildrenInd']","['BookReader', 'HomeDecoratingEnthusiast', 'PresenceOfChildrenInd']","['BookReader', 'HomeDecoratingEnthusiast', 'PresenceOfChildrenInd']"
32159,332,28.918529,-81.945848,332,"['BookReader', 'CookingEnthusiast', 'HomeDecoratingEnthusiast']","['BookReader', 'CookingEnthusiast', 'HomeDecoratingEnthusiast']","['BookReader', 'CookingEnthusiast', 'HomeDecoratingEnthusiast']"
32160,2,29.77032,-82.010076,2,"['CookingEnthusiast', 'Gardener', 'Jewelry']","['CookingEnthusiast', 'Gardener', 'Jewelry']","['CookingEnthusiast', 'Gardener', 'Jewelry']"
32162,641,28.924935,-82.009704,641,"['BookReader', 'CookingEnthusiast', 'HomeDecoratingEnthusiast']","['BookReader', 'CookingEnthusiast', 'HomeDecoratingEnthusiast']","['BookReader', 'CookingEnthusiast', 'HomeDecoratingEnthusiast']"
32163,492,28.856186,-81.971878,492,"['BookReader', 'HomeDecoratingEnthusiast', 'CookingEnthusiast']","['BookReader', 'HomeDecoratingEnthusiast', 'CookingEnthusiast']","['BookReader', 'HomeDecoratingEnthusiast', 'CookingEnthusiast']"
32164,547,29.497409,-81.260191,547,"['BookReader', 'CookingEnthusiast', 'HomeDecoratingEnthusiast']","['BookReader', 'CookingEnthusiast', 'HomeDecoratingEnthusiast']","['BookReader', 'CookingEnthusiast', 'HomeDecoratingEnthusiast']"
32168,367,28.967105,-81.07753,367,"['BookReader', 'CookingEnthusiast', 'HomeDecoratingEnthusiast']","['BookReader', 'CookingEnthusiast', 'HomeDecoratingEnthusiast']","['BookReader', 'CookingEnthusiast', 'HomeDecoratingEnthusiast']"
32169,142,29.03742,-80.915016,142,"['CookingEnthusiast', 'BookReader', 'HomeDecoratingEnthusiast']","['CookingEnthusiast', 'BookReader', 'HomeDecoratingEnthusiast']","['CookingEnthusiast', 'BookReader', 'HomeDecoratingEnthusiast']"
32170,6,29.012564,-80.939806,6,"['BookReader', 'CookingEnthusiast', 'OutdoorEnthusiast']","['BookReader', 'CookingEnthusiast', 'OutdoorEnthusiast']","['BookReader', 'CookingEnthusiast', 'OutdoorEnthusiast']"
32173,6,29.251605,-81.112298,6,"['CookingEnthusiast', 'AutomotiveBuff', 'BookReader']","['CookingEnthusiast', 'AutomotiveBuff', 'BookReader']","['CookingEnthusiast', 'AutomotiveBuff', 'BookReader']"
32174,576,29.268277,-81.147492,576,"['CookingEnthusiast', 'BookReader', 'HomeDecoratingEnthusiast']","['CookingEnthusiast', 'BookReader', 'HomeDecoratingEnthusiast']","['CookingEnthusiast', 'BookReader', 'HomeDecoratingEnthusiast']"
32175,8,29.251605,-81.112298,8,"['OutdoorEnthusiast', 'CookingEnthusiast', 'PresenceOfChildrenInd']","['OutdoorEnthusiast', 'CookingEnthusiast', 'PresenceOfChildrenInd']","['OutdoorEnthusiast', 'CookingEnthusiast', 'PresenceOfChildrenInd']"
32176,178,29.373935,-81.08151,178,"['CookingEnthusiast', 'BookReader', 'ExerciseEnthusiast']","['CookingEnthusiast', 'BookReader', 'ExerciseEnthusiast']","['CookingEnthusiast', 'BookReader', 'ExerciseEnthusiast']"
32177,246,29.794604,-81.729805,246,"['BookReader', 'CookingEnthusiast', 'PresenceOfChildrenInd']","['BookReader', 'CookingEnthusiast', 'PresenceOfChildrenInd']","['BookReader', 'CookingEnthusiast', 'PresenceOfChildrenInd']"
32178,2,29.646875,-81.64091,2,"['PresenceOfChildrenInd', 'UpscaleLiving', 'OnlinePurchasingIndicator']","['PresenceOfChildrenInd', 'UpscaleLiving', 'OnlinePurchasingIndicator']","['PresenceOfChildrenInd', 'UpscaleLiving', 'OnlinePurchasingIndicator']"
32179,92,29.070785,-81.916818,92,"['CookingEnthusiast', 'ExerciseEnthusiast', 'BookReader']","['CookingEnthusiast', 'ExerciseEnthusiast', 'BookReader']","['CookingEnthusiast', 'ExerciseEnthusiast', 'BookReader']"
32180,33,29.29238,-81.470788,33,"['BookReader', 'OutdoorEnthusiast', 'OutdoorSportsLover']","['BookReader', 'OutdoorEnthusiast', 'OutdoorSportsLover']","['BookReader', 'OutdoorEnthusiast', 'OutdoorSportsLover']"
32181,28,29.520685,-81.619888,28,"['BookReader', 'ExerciseEnthusiast', 'CookingEnthusiast']","['BookReader', 'ExerciseEnthusiast', 'CookingEnthusiast']","['BookReader', 'ExerciseEnthusiast', 'CookingEnthusiast']"
32182,2,29.503163,-81.946319,2,"['BookReader', 'CookingEnthusiast', 'HomeDecoratingEnthusiast']","['BookReader', 'CookingEnthusiast', 'HomeDecoratingEnthusiast']","['BookReader', 'CookingEnthusiast', 'HomeDecoratingEnthusiast']"
32183,3,29.042646,-81.930007,3,"['PresenceOfChildrenInd', 'ExerciseEnthusiast', 'Gardener']","['PresenceOfChildrenInd', 'ExerciseEnthusiast', 'Gardener']","['PresenceOfChildrenInd', 'ExerciseEnthusiast', 'Gardener']"
32185,1,29.737652,-81.9632,1,"['BookReader', 'CookingEnthusiast', 'ExerciseEnthusiast']","['BookReader', 'CookingEnthusiast', 'ExerciseEnthusiast']","['BookReader', 'CookingEnthusiast', 'ExerciseEnthusiast']"
32187,16,29.602593,-81.579916,16,"['CookingEnthusiast', 'OutdoorSportsLover', 'BookReader']","['CookingEnthusiast', 'OutdoorSportsLover', 'BookReader']","['CookingEnthusiast', 'OutdoorSportsLover', 'BookReader']"
32189,58,29.574292,-81.597558,58,"['BookReader', 'CookingEnthusiast', 'HomeDecoratingEnthusiast']","['BookReader', 'CookingEnthusiast', 'HomeDecoratingEnthusiast']","['BookReader', 'CookingEnthusiast', 'HomeDecoratingEnthusiast']"
32190,12,29.323633,-81.494519,12,"['HomeDecoratingEnthusiast', 'PresenceOfChildrenInd', 'BookReader']","['HomeDecoratingEnthusiast', 'PresenceOfChildrenInd', 'BookReader']","['HomeDecoratingEnthusiast', 'PresenceOfChildrenInd', 'BookReader']"
